lexeme                         lineno                         tokenName                      valueIfNumber                  parentNodeSymbol               isLeafNode                     NodeSymbol                    
---                            43                             ---                            ---                            factor                         No                             var                           
---                            43                             ---                            ---                            term                           No                             factor                        
---                            43                             ---                            ---                            arithmeticExpression           No                             term                          
---                            43                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            43                             ---                            ---                            term                           No                             termPrime                     
---                            43                             ---                            ---                            assignmentStmt                 No                             arithmeticExpression          
---                            43                             TK_PLUS                        ---                            lowPrecedenceOperator          Yes                           ---                           
---                            43                             ---                            ---                            expPrime                       No                             lowPrecedenceOperator         
---                            43                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            43                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            43                             ---                            ---                            var                            No                             singleOrRecId                 
---                            43                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            43                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            43                             ---                            ---                            factor                         No                             var                           
---                            43                             ---                            ---                            term                           No                             factor                        
---                            43                             ---                            ---                            expPrime                       No                             term                          
---                            43                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            43                             ---                            ---                            term                           No                             termPrime                     
---                            43                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            43                             ---                            ---                            expPrime                       No                             expPrime                      
---                            43                             TK_SEM                         ---                            assignmentStmt                 Yes                           ---                           
---                            43                             ---                            ---                            otherStmts                     No                             stmt                          
---                            41                             ---                            ---                            iterativeStmt                  No                             otherStmts                    
---                            45                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            45                             ---                            ---                            assignmentStmt                 No                             singleOrRecId                 
---                            45                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            45                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            45                             ---                            ---                            stmt                           No                             assignmentStmt                
---                            45                             TK_ASSIGNOP                    ---                            assignmentStmt                 Yes                           ---                           
---                            45                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            45                             ---                            ---                            var                            No                             singleOrRecId                 
---                            45                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            45                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            45                             ---                            ---                            factor                         No                             var                           
---                            45                             ---                            ---                            term                           No                             factor                        
---                            45                             ---                            ---                            arithmeticExpression           No                             term                          
---                            45                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            45                             ---                            ---                            term                           No                             termPrime                     
---                            45                             ---                            ---                            assignmentStmt                 No                             arithmeticExpression          
---                            45                             TK_PLUS                        ---                            lowPrecedenceOperator          Yes                           ---                           
---                            45                             ---                            ---                            expPrime                       No                             lowPrecedenceOperator         
---                            45                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            45                             TK_NUM                         1                             var                            Yes                           ---                           
---                            45                             ---                            ---                            factor                         No                             var                           
---                            45                             ---                            ---                            term                           No                             factor                        
---                            45                             ---                            ---                            expPrime                       No                             term                          
---                            45                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            45                             ---                            ---                            term                           No                             termPrime                     
---                            45                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            45                             ---                            ---                            expPrime                       No                             expPrime                      
---                            45                             TK_SEM                         ---                            assignmentStmt                 Yes                           ---                           
---                            45                             ---                            ---                            otherStmts                     No                             stmt                          
---                            43                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            46                             ---                            ---                            otherStmts                     Yes                           EPSILON                       
---                            45                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            46                             TK_ENDWHILE                    ---                            iterativeStmt                  Yes                           ---                           
---                            41                             ---                            ---                            otherStmts                     No                             stmt                          
---                            40                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            47                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            47                             ---                            ---                            assignmentStmt                 No                             singleOrRecId                 
---                            47                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            47                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            47                             ---                            ---                            stmt                           No                             assignmentStmt                
---                            47                             TK_ASSIGNOP                    ---                            assignmentStmt                 Yes                           ---                           
---                            47                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            47                             ---                            ---                            var                            No                             singleOrRecId                 
---                            47                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            47                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
